Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
Picture	fixation	other				2496611	1	4166	1	0	4000
Picture	red_left	hit	1	4230	1	2500778	1	4333	1	4000	resp
Picture	jitter	other				2516776	1	5166	1	0	50000
Picture	fixation	other				2521942	1	4166	1	0	4000
Picture	red_left	hit	1	4418	1	2526109	1	4500	1	4000	resp
Picture	jitter	other				2542107	1	5166	1	0	50000
Picture	fixation	other				2547273	1	4166	1	0	4000
Picture	red_left	hit	1	3887	1	2551440	1	4000	1	4000	resp
Picture	jitter	other				2567438	1	6166	1	0	50000
Picture	fixation	other				2573604	1	4166	1	0	4000
Picture	green_right	hit	2	4835	1	2577771	1	5000	1	4000	resp
Picture	jitter	other				2593769	1	1167	1	0	50000
Picture	fixation	other				2594936	1	4166	1	0	4000
Picture	green_right	hit	2	4623	1	2599102	1	4666	1	4000	resp
Picture	jitter	other				2615101	1	1167	1	0	50000
Picture	fixation	other				2616267	1	4166	1	0	4000
Picture	red_left	hit	1	4731	1	2620434	1	4833	1	4000	resp
Picture	jitter	other				2636432	1	7166	1	0	50000
Picture	fixation	other				2643598	1	4166	1	0	4000
Picture	red_right	hit	1	5079	1	2647765	1	5166	1	4000	resp
Picture	jitter	other				2663763	1	2166	1	0	50000
Picture	fixation	other				2665930	1	4166	1	0	4000
Picture	green_right	hit	2	5787	1	2670096	1	5833	1	4000	resp
Picture	jitter	other				2686095	1	3166	1	0	50000
Picture	fixation	other				2689261	1	4166	1	0	4000
Picture	green_left	hit	2	5735	1	2693427	1	5833	1	4000	resp
Picture	jitter	other				2709426	1	6166	1	0	50000
Picture	fixation	other				2715592	1	4166	1	0	4000
Picture	green_right	hit	2	5325	1	2719758	1	5500	1	4000	resp
Picture	jitter	other				2735757	1	4166	1	0	50000
Picture	fixation	other				2739923	1	4166	1	0	4000
Picture	green_right	hit	2	4832	1	2744089	1	5000	1	4000	resp
Picture	jitter	other				2760088	1	9166	1	0	50000
Picture	fixation	other				2769254	1	4166	1	0	4000
Picture	green_right	hit	2	4383	1	2773420	1	4500	1	4000	resp
Picture	jitter	other				2789419	1	7166	1	0	50000
Picture	fixation	other				2796585	1	4166	1	0	4000
Picture	red_left	hit	1	4009	1	2800751	1	4166	1	4000	resp
Picture	jitter	other				2816748	2	8167	3	0	50000
Picture	fixation	other				2824915	1	4166	1	0	4000
Picture	green_right	hit	2	5598	1	2829082	1	5666	1	4000	resp
Picture	jitter	other				2845080	1	10166	1	0	50000
Picture	fixation	other				2855246	1	4166	1	0	4000
Picture	red_left	hit	1	4307	1	2859412	1	4333	1	4000	resp
Picture	jitter	other				2875411	1	1167	1	0	50000
Picture	fixation	other				2876577	1	4166	1	0	4000
Picture	red_left	hit	1	4575	1	2880744	1	4666	1	4000	resp
Picture	jitter	other				2896742	1	9166	1	0	50000
Picture	fixation	other				2905908	1	4166	1	0	4000
Picture	green_right	hit	2	4443	1	2910075	1	4500	1	4000	resp
Picture	jitter	other				2926073	1	4166	1	0	50000
Picture	fixation	other				2930239	1	4166	1	0	4000
Picture	green_right	hit	2	4751	1	2934406	1	4833	1	4000	resp
Picture	jitter	other				2950404	1	8166	1	0	50000
Picture	fixation	other				2958570	1	4166	1	0	4000
Picture	green_left	hit	2	5460	1	2962737	1	5499	1	4000	resp
Picture	jitter	other				2978735	1	2167	1	0	50000
Picture	fixation	other				2980902	1	4166	1	0	4000
Picture	red_left	hit	1	4328	1	2985068	1	4500	1	4000	resp
Picture	jitter	other				3001065	3	3168	3	0	50000
Picture	fixation	other				3004233	1	4166	1	0	4000
Picture	green_right	hit	2	4358	1	3008399	1	4500	1	4000	resp
Picture	jitter	other				3024398	1	10166	1	0	50000
Picture	fixation	other				3034564	1	4166	1	0	4000
Picture	red_left	hit	1	3624	1	3038730	1	3666	1	4000	resp
Picture	jitter	other				3054728	1	8166	1	0	50000
Picture	fixation	other				3062894	1	4166	1	0	4000
Picture	red_left	hit	1	4094	1	3067061	1	4166	1	4000	resp
Picture	jitter	other				3083059	1	4166	1	0	50000
Picture	fixation	other				3087225	1	4166	1	0	4000
Picture	green_left	hit	2	5042	1	3091392	1	5166	1	4000	resp
Picture	jitter	other				3107390	1	3166	1	0	50000
Picture	fixation	other				3110557	1	4166	1	0	4000
Picture	red_right	hit	1	4270	1	3114723	1	4333	1	4000	resp
Picture	jitter	other				3130722	1	9166	1	0	50000
Picture	fixation	other				3139887	1	4166	1	0	4000
Picture	red_left	hit	1	4539	1	3144054	1	4666	1	4000	resp
Picture	jitter	other				3160052	1	10166	1	0	50000
Picture	fixation	other				3170218	1	4166	1	0	4000
Picture	green_right	hit	2	4207	1	3174384	1	4333	1	4000	resp
Picture	jitter	other				3190383	1	3166	1	0	50000
Picture	fixation	other				3193549	1	4166	1	0	4000
Picture	red_right	hit	1	5035	1	3197716	1	5166	1	4000	resp
Picture	jitter	other				3213714	1	7166	1	0	50000
Picture	fixation	other				3220880	1	4166	1	0	4000
Picture	red_right	hit	1	4024	1	3225047	1	4166	1	4000	resp
Picture	jitter	other				3241045	1	7166	1	0	50000
Picture	fixation	other				3248211	1	4166	1	0	4000
Picture	red_right	hit	1	3733	1	3252377	1	3833	1	4000	resp
Picture	jitter	other				3268376	1	3166	1	0	50000
Picture	fixation	other				3271542	1	4166	1	0	4000
Picture	green_left	hit	2	4561	1	3275709	1	4666	1	4000	resp
Picture	jitter	other				3291707	2	10167	3	0	50000
Picture	fixation	other				3301873	1	4166	1	0	4000
Picture	red_right	hit	1	5749	1	3306039	1	5833	1	4000	resp
Picture	jitter	other				3322038	1	4166	1	0	50000
Picture	fixation	other				3326204	1	4166	1	0	4000
Picture	red_right	hit	1	5337	1	3330371	1	5500	1	4000	resp
Picture	jitter	other				3346369	1	4166	1	0	50000
Picture	fixation	other				3350535	1	4166	1	0	4000
Picture	green_left	hit	2	4285	1	3354702	1	4333	1	4000	resp
Picture	jitter	other				3370700	1	6166	1	0	50000
Picture	fixation	other				3376866	1	4166	1	0	4000
Picture	red_left	hit	1	6354	1	3381033	1	6499	1	4000	resp
Picture	jitter	other				3397031	1	2166	1	0	50000
Picture	fixation	other				3399198	1	4166	1	0	4000
Picture	red_right	hit	1	4822	1	3403364	1	4822	178	4000	resp
Picture	jitter	other				3419363	1	6166	1	0	50000
Picture	fixation	other				3425529	1	4166	1	0	4000
Picture	red_right	hit	1	4251	1	3429695	1	4333	1	4000	resp
Picture	jitter	other				3445694	1	6166	1	0	50000
Picture	fixation	other				3451860	1	4166	1	0	4000
Picture	green_left	hit	2	4641	1	3456026	1	4666	1	4000	resp
Picture	jitter	other				3472025	1	2166	1	0	50000
Picture	fixation	other				3474191	1	4166	1	0	4000
Picture	green_left	hit	2	5107	1	3478357	1	5166	1	4000	resp
Picture	jitter	other				3494356	1	1166	1	0	50000
Picture	fixation	other				3495522	1	4166	1	0	4000
Picture	red_right	hit	1	5136	1	3499689	1	5166	1	4000	resp
Picture	jitter	other				3515687	1	8166	1	0	50000
Picture	fixation	other				3523853	1	4166	1	0	4000
Picture	green_left	hit	2	4883	1	3528020	1	5000	1	4000	resp
Picture	jitter	other				3544018	1	1167	1	0	50000
Picture	fixation	other				3545185	1	4166	1	0	4000
Picture	green_right	hit	2	5632	1	3549351	1	5666	1	4000	resp
Picture	jitter	other				3565350	1	10166	1	0	50000
Picture	fixation	other				3575515	1	4166	1	0	4000
Picture	green_left	hit	2	4980	1	3579682	1	5000	1	4000	resp
Picture	jitter	other				3595680	1	3166	1	0	50000
Picture	fixation	other				3598847	1	4166	1	0	4000
Picture	green_left	hit	2	4210	1	3603013	1	4333	1	4000	resp
Picture	jitter	other				3619012	1	9166	1	0	50000
Picture	fixation	other				3628177	1	4166	1	0	4000
Picture	green_left	hit	2	4397	1	3632344	1	4500	1	4000	resp
Picture	jitter	other				3648342	1	4166	1	0	50000
Picture	fixation	other				3652509	1	4166	1	0	4000
Picture	red_right	hit	1	4065	1	3656675	1	4166	1	4000	resp
Picture	jitter	other				3672673	1	1167	1	0	50000
Picture	fixation	other				3673840	1	4166	1	0	4000
Picture	green_left	hit	2	4413	1	3678006	1	4500	1	4000	resp
Picture	jitter	other				3694005	1	2167	1	0	50000
Picture	fixation	other				3696171	1	4166	1	0	4000
Picture	red_right	hit	1	4002	1	3700338	1	4166	1	4000	resp
Picture	jitter	other				3716336	1	5166	1	0	50000
Picture	fixation	other				3721502	1	4166	1	0	4000
Picture	green_left	hit	2	5230	1	3725669	1	5333	1	4000	resp
Picture	jitter	other				3741667	1	7166	1	0	50000
Picture	fixation	other				3748833	1	4166	1	0	4000
Picture	green_right	hit	2	4620	1	3753000	1	4666	1	4000	resp
Picture	jitter	other				3768998	1	9166	1	0	50000
Picture	fixation	other				3778164	1	4166	1	0	4000
Picture	green_left	hit	2	3687	1	3782330	1	3833	1	4000	resp
Picture	jitter	other				3798329	1	9166	1	0	50000
Picture	fixation	other				3807495	1	4166	1	0	4000
Picture	green_left	hit	2	5077	1	3811661	1	5166	1	4000	resp
Picture	jitter	other				3827660	1	8166	1	0	50000
Picture	fixation	other				3835826	1	4166	1	0	4000
Picture	red_left	hit	1	4024	1	3839992	1	4166	1	4000	resp
Picture	jitter	other				3855991	1	5166	1	0	50000
Picture	fixation	other				3861157	1	4166	1	0	4000
Picture	red_right	hit	1	5093	1	3865323	1	5166	1	4000	resp
Picture	jitter	other				3881322	1	5166	1	0	50000
Picture	fixation	other				3886488	1	4166	1	0	4000
Picture	red_right	hit	1	4081	1	3890654	1	4166	1	4000	resp
Picture	jitter	other				3906653	1	8166	1	0	50000
Picture	break_message	other				3914819	1	303766	1	0	next
